Unnamed,Uri,Title,Artist,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new
1659,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1660,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1661,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1662,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1663,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1664,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1665,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1666,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1667,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1668,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1669,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1670,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1671,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1672,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1673,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1674,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1675,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1676,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,hello,Pop Smoke - A Boogie Wit da Hoodie,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.3670000000000001,130.97,190534,4,trap
1677,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1678,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1679,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1680,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1681,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1682,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1683,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1684,https://open.spotify.com/track/38zwkK6TtTjIW9tpYBfZ3D,paradise,George Ezra,0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,222045,4,k-pop
1685,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1686,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1687,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1688,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1689,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1690,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1691,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1692,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1693,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1694,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1695,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1696,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1697,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1698,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1699,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1700,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1701,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
1702,https://open.spotify.com/track/3ryjLm3oupIjJFGc39naNi,dimple,BTS,0.612,0.8440000000000001,5,-4.694,0,0.0756,0.142,0.0,0.287,0.653,134.868,196776,4,k-pop
